MAG	taxa	completeness	contamination
062.Daphnia.iridovirus.1.proteins	INT_316	37.81512605042017	0.8403361344537815
120.Invertebrate.iridescent.virus.22.proteins	INT_316	94.95798319327731	2.5210084033613445
122.Invertebrate.iridovirus.22.proteins	INT_316	94.95798319327731	0.8403361344537815
121.Invertebrate.iridescent.virus.30.proteins	INT_316	94.95798319327731	2.5210084033613445
123.Invertebrate.iridovirus.25.proteins	INT_316	100.0	1.680672268907563
063.Wiseana.iridescent.virus.proteins	INT_316	100.0	1.680672268907563
117.Aedes.taeniorhynchus.iridescent.virus.proteins	INT_316	79.83193277310924	1.680672268907563
064.Aedes.taeniorhynchus.iridescent.virus.proteins	INT_316	79.83193277310924	1.680672268907563
118.Anopheles.minimus.irodovirus.proteins	INT_316	88.23529411764706	4.201680672268908
UUJ180725.matabat2bin.85.decontaminated.proteins	INT_2530	84.14634146341463	0.6097560975609756
UUJ170626.matabat2bin.11.proteins	INT_2530	87.1951219512195	2.4390243902439024
UUJ180510.matabat2bin.167.proteins	INT_2530	84.7560975609756	3.658536585365854
UUJ180410.matabat2bin.352.proteins	INT_2530	78.65853658536585	4.878048780487805
UUF170621.matabat2bin.9.proteins	INT_2530	79.8780487804878	3.658536585365854
UUJ180219.matabat2bin.97.proteins	INT_2530	87.8048780487805	6.7073170731707314
UUJ180802.matabat2bin.345.proteins	INT_2530	86.58536585365853	6.097560975609756
UUJ170620.matabat2bin.143.proteins	INT_586	83.60655737704919	4.918032786885246
UUJ180622.matabat2bin.83.proteins	INT_586	90.1639344262295	1.639344262295082
UUJ170630.matabat2bin.40.proteins	INT_586	90.1639344262295	3.278688524590164
UUJ170818.matabat2bin.262.proteins	INT_586	83.60655737704919	1.639344262295082
UUJ170804.matabat2bin.38.proteins	INT_586	67.21311475409836	4.918032786885246
UUJ180815.matabat2bin.47.proteins	INT_785	NA	NA
UUJ170726.matabat2bin.259.proteins	INT_785	NA	NA
UUJ170804.matabat2bin.53.proteins	UUJ170804.matabat2bin.53.proteins	NA	NA
051.Tunisvirus.fontaine2.proteins	INT_402	94.54545454545455	9.454545454545455
